,Accuracy,Precision,Recall,F1-Score,Specificity,MCC
KNN,0.991869918699187,0.9921544715447155,0.9918699186991871,0.9918654483746975,0.9997967479674799,0.9916740152267813
Naive Bayes,0.991869918699187,0.9920289855072465,0.991869918699187,0.9918235270913944,0.9997967479674799,0.9916729654224772
Decision Tree,0.8394308943089431,0.8493990837466056,0.8394308943089432,0.8400357832587727,0.9959857723577236,0.8356555505299106
Random Forest,0.9888211382113821,0.9893746091307069,0.9888211382113821,0.9888755165431168,0.9997205284552846,0.9885531780871784
SVM,0.9939024390243902,0.9940243902439025,0.9939024390243902,0.9939011151943912,0.9998475609756099,0.993753155979211
Logistic Regression,0.9939024390243902,0.9940243902439023,0.9939024390243902,0.9939011151943912,0.9998475609756099,0.993753155979211
XGBoost,0.9928861788617886,0.993130081300813,0.9928861788617886,0.9929258937617601,0.9998221544715449,0.9927125369014173
Voting Classifier,0.991869918699187,0.9920289855072465,0.9918699186991871,0.9918235270913942,0.9997967479674799,0.9916729654224772
