Disease,Symptom,Frequency
Disease,"count of disease
  occurrence",Symptom
"UMLS:C0018801_failure
  heart",138,UMLS:C0085619_orthopnea
"UMLS:C0041912_upper
  respiratory infection",135,UMLS:C0010200_cough
UMLS:C0019158_hepatitis,133,UMLS:C0003962_ascites
"UMLS:C0020542_hypertension
  pulmonary",128,UMLS:C0392680_shortness of breath
"UMLS:C0011168_deglutition
  disorder",126,UMLS:C0030554_paresthesia
UMLS:C0018099_gout,124,UMLS:C0600142_hot flush
UMLS:C0040034_thrombocytopaenia,123,UMLS:C0013491_ecchymosis
UMLS:C0020615_hypoglycemia,122,UMLS:C0241526_unresponsiveness
"UMLS:C0032290_pneumonia
  aspiration",119,UMLS:C0264576_mediastinal shift
UMLS:C0009319_colitis,114,UMLS:C0015967_fever
UMLS:C1510475_diverticulosis,114,UMLS:C1167754_fecaluria
"UMLS:C0038663_suicide
  attempt",114,UMLS:C0233762_hallucinations auditory
"UMLS:C0032305_Pneumocystis
  carinii pneumonia",113,UMLS:C0457096_yellow sputum
"UMLS:C0019163_hepatitis
  B",111,UMLS:C0233467_inappropriate affect
"UMLS:C0030567_parkinson
  disease",108,UMLS:C1321756_achalasia
UMLS:C0024299_lymphoma,105,UMLS:C0221198_lesion
UMLS:C0020456_hyperglycemia,104,UMLS:C0234233_sore to touch
UMLS:C0085584_encephalopathy,103,UMLS:C0242143_uncoordination
"UMLS:C0040961_tricuspid
  valve insufficiency",101,UMLS:C0392680_shortness of breath
"UMLS:C0002395_Alzheimer's
  disease",101,UMLS:C0013132_drool
"UMLS:C0006840_candidiasis^UMLS:C0006849_oral
  candidiasis",99,UMLS:C0011991_diarrhea
UMLS:C0442874_neuropathy,99,UMLS:C0004093_asthenia
"UMLS:C0022658_kidney
  disease",96,UMLS:C0392680_shortness of breath
"UMLS:C0023267_fibroid
  tumor",96,UMLS:C0233071_para 2
UMLS:C0017601_glaucoma,95,UMLS:C0085639_fall
"UMLS:C0027627_neoplasm
  metastasis",94,UMLS:C0205400_thicken
"UMLS:C0007102_malignant
  tumor of colon^UMLS:C0699790_carcinoma colon",94,UMLS:C0221198_lesion
"UMLS:C0011880_ketoacidosis
  diabetic",93,UMLS:C0032617_polyuria
"UMLS:C0014549_tonic-clonic
  epilepsy^UMLS:C0494475_tonic-clonic seizures",92,UMLS:C0013144_drowsiness
"UMLS:C0006826_malignant
  neoplasms",90,UMLS:C0232118_pulsus paradoxus
"UMLS:C1145670_respiratory
  failure",90,UMLS:C0018991_hemiplegia
UMLS:C0025202_melanoma,87,UMLS:C0577559_mass of body structure
UMLS:C0017160_gastroenteritis,87,UMLS:C0000737_pain abdominal
"UMLS:C0242379_malignant
  neoplasm of lung^UMLS:C0684249_carcinoma of lung",86,UMLS:C0221198_lesion
"UMLS:C0024713_manic
  disorder",85,UMLS:C0455769_energy increased
"UMLS:C0031212_personality
  disorder",84,UMLS:C0028084_nightmare
"UMLS:C0019204_primary
  carcinoma of the liver cells",82,UMLS:C0577559_mass of body structure
"UMLS:C0034067_emphysema
  pulmonary",80,UMLS:C0474395_behavior showing increased motor activity
UMLS:C0019112_hemorrhoids,80,UMLS:C0019080_haemorrhage
"UMLS:C0006266_spasm
  bronchial",76,UMLS:C0392680_shortness of breath
UMLS:C0003537_aphasia,76,UMLS:C0009024_clonus
"UMLS:C0028756_obesity
  morbid",76,UMLS:C0848168_out of breath
UMLS:C0034186_pyelonephritis,74,UMLS:C0015967_fever
UMLS:C0014118_endocarditis,71,UMLS:C0008033_pleuritic pain
"UMLS:C0031039_effusion
  pericardial^UMLS:C1253937_pericardial effusion body substance",71,UMLS:C0232267_pericardial friction rub
"UMLS:C0001973_chronic
  alcoholic intoxication",70,UMLS:C0040822_tremor
UMLS:C0032326_pneumothorax,68,UMLS:C0013404_dyspnea
UMLS:C0011206_delirium,68,UMLS:C1273573_unsteady gait
UMLS:C0027947_neutropenia,68,UMLS:C1096646_transaminitis
UMLS:C0020433_hyperbilirubinemia,68,UMLS:C0010520_cyanosis
UMLS:C0021400_influenza,68,UMLS:C0242143_uncoordination
UMLS:C0439857_dependence,67,UMLS:C0728899_intoxication
UMLS:C0087086_thrombus,67,UMLS:C0086439_hypokinesia
UMLS:C0008325_cholecystitis,66,UMLS:C0859032_moan
"UMLS:C0019291_hernia
  hiatal",61,UMLS:C0000737_pain abdominal
"UMLS:C0149931_migraine
  disorders",61,UMLS:C0002416_ambidexterity
UMLS:C0030312_pancytopenia,61,UMLS:C0020639_hypoproteinemia
"UMLS:C0008350_cholelithiasis^UMLS:C0242216_biliary
  calculus",61,UMLS:C0042963_vomiting
"UMLS:C0039239_tachycardia
  sinus",56,UMLS:C0238705_left atrial hypertrophy
UMLS:C1258215_ileus,56,UMLS:C0549483_abscess bacterial
UMLS:C0001511_adhesion,57,UMLS:C0016204_flatulence
UMLS:C0011253_delusion,56,UMLS:C0240233_loose associations
"UMLS:C0233472_affect
  labile",45,UMLS:C0277794_extreme exhaustion
"UMLS:C0011127_decubitus
  ulcer",42,UMLS:C0232257_systolic murmur
